sample_id,text,aspect_target,aspect_category,opinion_span,stance,explanation
1089,There is a difference between policy governance and bureaucratic dictatorship ! Your order is equivalent to banning education for kids . How can schools teach without getting paid ? SaveOurSchools,policy governance,Policy & Governance,difference between policy governance and bureaucratic dictatorship,HATE,Your order is equivalent to banning education for kids
1090,Sorry about you be tired but we only supply the truth and receipts to prove our point - no urination required ! Bernie is a old school FDRDemocrat with NewSchool policy proposals !,NewSchool policy proposals,Policy & Governance,no urination required,NEUTRAL,no urination required
1091,these animals are cringeworthy as hell . the left truly can not meme . you fools have to support Joe Biden and he does not even know where he is . hairsniffingiscooltrustus DNC,Joe Biden,Policy & Governance,he does not even know where he is,HATE,he does not even know where he is
1092,"God loves everyone . Including Barack Obama , who gassed children but that ' s forgotten by because Democrat Of course Trump never gassed IMMIGRANT children . got to be finished migrating first",God,Empathy & Support,God loves everyone,HOPEFUL,God loves everyone
1093,"I guess that StaceyAbrams will be JoeBiden VP running mate ; she is a black woman , Georgia ' s politician and Yale graduated . That ' s adding a lot to a weak ( and old ) candidacy . Abrams says : Ive spent years in independent study of foreign policy . "" Well , not a big deal .",StaceyAbrams,Policy & Governance,That ' s adding a lot to a weak ( and old ) candidacy,NEUTRAL,That ' s adding a lot to a weak ( and old ) candidacy
1094,No one talks about the crowds of people who show up to support I went months pregnant to see him in Chicago it was insane,crowds of people who show up to support,Empathy & Support,insane,HOPEFUL,it was insane
1095,Thank you for your support for Texas and the American people . Thank you for your sound of reason . We need you all now MORE THAN EVER . TrueToForm BetoForPresident Biden / Obama O ' Rourke / Allred,support for Texas and the American people,Empathy & Support,Thank you for your support,HOPEFUL,Thank you for your support
1096,How fun it is to look back in history Watching calling Trump names in the past & this idiot bringing up drug used when he got busted driving under substance influence is hilarious . DonaldTrump MattGaetzDUI FunFactFriday,drug used,Addiction & Health,this idiot bringing up drug used,HATE,this idiot bringing up drug used
1097,"No , we need to abolish it . Not only that , Bernie ' s terrible foreign policy ( and the US ' s in Latin America ) exacerbates these crises .",Bernie ' s terrible foreign policy,Policy & Governance,Bernie ' s terrible foreign policy,HATE,Bernie ' s terrible foreign policy
1098,"With great credit for that shellacking going to Bernie Sanders ( who was on political shows almost *daily* ) , Ed Schultz , the entire morning line - up at MSNBC , and the stupid and rudderless Occupy Wall Street to ' punish BlueDog Dems ' . GOP said , thank you very much !",Occupy Wall Street,Policy & Governance,stupid and rudderless Occupy Wall Street,HATE,stupid and rudderless Occupy Wall Street
1099,"Clinton privilege transcends white privilege , rock star privilege , NFL privilege & intergalactic alien privilege . SemST",Clinton privilege,Empathy & Support,"transcends white privilege , rock star privilege , NFL privilege & intergalactic alien privilege",NEUTRAL,"Clinton privilege transcends white privilege , rock star privilege , NFL privilege & intergalactic alien privilege"
1100,: I do a stump speech . It on the stump in the park . attendance mandatory . SemST,the park,Public Space,attendance mandatory,NEUTRAL,attendance mandatory
1101,Join Lou Tonight - BrokenBorders : demands Mexico step up to stop the NationalEmergency at our southern border . May on pace to have the HIGHEST number of border crossings in over years . Join Lou / ET . Dobbs,NationalEmergency at our southern border,Policy & Governance,demands Mexico step up to stop the NationalEmergency at our southern border,NEUTRAL,demands Mexico step up to stop the NationalEmergency at our southern border
1102,Since When is the Politics of Open Borders More Important Than Public Health & Safety of Americans ? . ! via Immigration Refugees BuildTheWall Trump Coronavirus Health Virus Covid_19 COVID19,Public Health & Safety,Public Safety,More Important Than Public Health & Safety of Americans,HATE,Politics of Open Borders More Important Than Public Health & Safety of Americans
1103,Wasn ' t the plan digital India ? So why not now ? Let us support each other and work for it . Online teaching is a wonderful new learning experience . Allow schools to operate SaveOurSchools RightToLearn SaveOurSchools,Online teaching,Empathy & Support,a wonderful new learning experience,HOPEFUL,a wonderful new learning experience
1104,"GOP blocked immigration reform whenever Dems / Obama raised it . Trump / GOP dont care ab borders or immigration unless it gets votes . Also , if GOP cared ab our troops , they wouldnt use em for political stunts & would pay for veteran services instead of giving taxcuts to .",veteran services,Policy & Governance,would pay for veteran services instead of giving taxcuts,HOPEFUL,would pay for veteran services instead of giving taxcuts
1105,"That ' s nearly already happening , when these drunks & drug addicts hit they have already lost half their brain cells , as they get older it ' s worse , look at JoeBiden for Christ ' s sake ?",drunks & drug addicts,Addiction & Health,they have already lost half their brain cells,HATE,they have already lost half their brain cells
1106,"Mr . Rent Control BernieSanders never mentions price controls on Colleges and Universities , could it be that he has too many supporters and friends in the Education Industry to consider such ? Fraud",price controls on Colleges and Universities,Policy & Governance,Fraud,HATE,Fraud
1107,"DONALDUS MAGNUS , AUGUST , TRACK THE STATUS OF TRUMPS BORDER WALL The Fake News wants you to think the wall isnt being built . I built this map to prove that it is !",TRUMPS BORDER WALL,Policy & Governance,I built this map to prove that it is,NEUTRAL,I built this map to prove that it is
1108,"There were a few times in our history when tuition was waved . After WWII there was the GI Bill . Another was the Russian successful launch of the Sputnik . Both opened university doors to millions of students . I was one of them . With that assistance I made my way into medicine . Others became engineers or researchers . What I know is the nation got a boost of talent , and brought progress to the nation . Mr . Petrilli describes the effect of poverty , and negates the possibility of many to advance themselves and this country . Education even if paid by tax payers does not address every short fall in society , but it does help many . It is time to reject fatalist opinion , and redirect our attention to doing what should be done to improve everyone ' s survival .",Education,Employment & Economy,does help many,HOPEFUL,"Education even if paid by tax payers does not address every short fall in society , but it does help many"
1109,"The vast majority of heroin users have first used coffee , tobacco and alcohol so I guess these are gateway drugs too . Or maybe sugar is the first gateway drug ? Too much nonsense is written about marijuana leading to addiction of the harder and more dangerous drugs like alcohol .",marijuana,Addiction & Health,Too much nonsense is written about marijuana leading to addiction,HOPEFUL,Too much nonsense is written about marijuana leading to addiction
1110,"As a former psychologist and career counselor , I am interested in encouraging forms of expression that reinforce good mental health . On line commenting has been over taken , sabotaged , and abused with a high percentage of mentally unhealthy abusive speech . This one negative aspect is significant enough to justify abolishing commenting . This unhealthy behavior does not serve as a safety valve but rather encourages self destructive ruminating that can explode in violence . Time to bite the bullet and give up on both moderated and unmoderated online comments !",online comments,Addiction & Health,unhealthy behavior,HATE,This unhealthy behavior does not serve as a safety valve but rather encourages self destructive ruminating that can explode in violence
1111,"As a recent college graduate with a degree in French , I have to say that I am disappointed that foreign language literatures are first on the chopping block . Not only does the study of literature prompt students to critically analyze texts and articulate arguments in writing , it provides students with a more well - rounded and global view of a discipline that all too often focuses on old dead white British and American men . As a student of French I have had an enormous exposure to the cultural and political issues that dominate North African , West African , and Carribean peoples . Moreover , I have been fortunate enough to gain an understanding of the American immigration debate through the comparative study of Chicano / Chicana literature juxtaposed with the literature of North African immigrants in France . It would really be a shame to see this multifaceted and dynamic discipline disappear from some Universities because of uninformed notions that the study of French is nothing more than an American romanticization and fetishization of a European culture and language .",foreign language literatures,Employment & Economy,I am disappointed that foreign language literatures are first on the chopping block,HOPEFUL,I am disappointed that foreign language literatures are first on the chopping block
1112,"No one should be tax exempt . Enough of this never ending debate about who gets favored and who does not . If we are going to tax income in America , we should stop playing favorites and tax every dollar of income exactly the same . Whether earned by KBronson , the NYT , the Catholic Church , the Girl Scouts , or Exxon , we should tax every dollar at the same rate - - no matter who earned it or what they spend it on . A simple direct tax policy like that would send this country on a growth spurt that it has not seen since the ' s , and get the government out of our personal decisions .",tax policy,Policy & Governance,A simple direct tax policy like that would send this country on a growth spurt,HOPEFUL,A simple direct tax policy like that would send this country on a growth spurt
1113,of Hispanic College Students and of Black College Students support BernieSanders . Bernie,BernieSanders,Policy & Governance,support BernieSanders,HOPEFUL,support BernieSanders
1114,". spent some time this morning to , as he would put it , support the people that brought him to the dance . UnionStrong DemocraticDebate unionsforall",support the people,Empathy & Support,support the people,HOPEFUL,support the people
1115,Join Biden later today for some tie dying at Merril Park in Concord ! FITN,Merril Park,Public Space,some tie dying at Merril Park in Concord,NEUTRAL,some tie dying at Merril Park in Concord
1116,") I like my Medicare . ) It works w / o hassle . ) The government has enough clout to negotiate prices ) Administrative cost are low . ) There are no profits to satisfy Wall Street and investors . So "" tell the government to keep their hands off my Medicare . """,Medicare,Policy & Governance,I like my Medicare,HOPEFUL,I like my Medicare
1117,glad to see you and your mother both support,you and your mother,Empathy & Support,glad to see,HOPEFUL,glad to see
1118,Him ! Thats weird because I know lots of black folks that support . Stop wasting your words Joe .,Joe,Empathy & Support,Stop wasting your words Joe,HATE,Stop wasting your words Joe
1119,"All those people with the same mindset that Bernie has would likely support taking away all of Henry Fords money , plants , and futures , and re - distribute it simply because he thinks others somehow deserve it . Ford took risks . No one else did .","taking away all of Henry Fords money , plants , and futures",Policy & Governance,would likely support,NEUTRAL,"would likely support taking away all of Henry Fords money , plants , and futures"
1120,"Actually the internest stands to make research even greater in depth more available to all on any given subject . Academic study , any research paper done today has international data avilable like never before . The internet is full of terrible information as well , undocumented , unproven and unreliable . However if used right one can learn as much with a computer and the internet as any university can teach . I have educated myself with the internet on a number of subjects I am interested in and can answer off the cuff questions regarding any of those given subjects with direct factual answers without rhetoric . If only all Americans felt the same urge to learn we as a nation would be in much better condition . ignorance is not bliss , it ' s anger , depression and a feeling of hopelessness Thomas McMahon Millis Ma",ignorance,Empathy & Support,"ignorance is not bliss , it ' s anger , depression and a feeling of hopelessness",HOPEFUL,"ignorance is not bliss , it ' s anger , depression and a feeling of hopelessness"
1121,Making fun of people to get them to support your candidate of choice is a winning strategy ! BernieSanders,Making fun of people,Empathy & Support,a winning strategy,HATE,Making fun of people to get them to support your candidate of choice is a winning strategy
1122,Human Rights Campaign endorses Biden on anniversary of his support for same - sex marriage RidenWithBiden,Human Rights Campaign,Empathy & Support,endorses Biden,HOPEFUL,Human Rights Campaign endorses Biden
1123,- Biden remember crime bill jailed many people unfairly also you did not protect child support money from wage garnishes . You have many sins . Please dont run,crime bill,Policy & Governance,jailed many people unfairly,HATE,jailed many people unfairly
1124,Trump is too much in the market . Review and forecast of FOREX FORTS market on may . / We can not remember a President who cared so much about the market . Trump allows himself to talk about the policy of the fed and the value of shares . He can ea .,policy of the fed,Policy & Governance,Trump allows himself to talk about the policy of the fed,NEUTRAL,Trump allows himself to talk about the policy of the fed
1125,God damn it took one night of forced interaction to remind me why Bernie is the best policy,Bernie,Policy & Governance,Bernie is the best policy,HOPEFUL,Bernie is the best policy
1126,And people ask me why I left the Democrat party . You guys whine about everything . This one is beyond ridiculous . McHale can support anyone he wants its his right . DemExit Kevin McHale Under Fire For Attending Donald Trump Rally,Democrat party,Policy & Governance,whine about everything,HATE,You guys whine about everything
1127,"I used to teach Quantitative Reasoning . One of the databases we used to analyze was birth rate by country . That was over ten years ago , but it showed my students how high birth rates would become unsustainable in small countries without similar economic growth rates . The same countries we identified as problems back in that course are in the center of the refugee and problematic youth crises now . Just divide the birth rate ( in percentage ) into and you get the population doubling time . How can an economically stressed country every imagine handling the doubling of its population in less than a generation ? It does not make any sense to talk about overall wealth in the world , either , when people have no realistic prospect of any future access to it without migrating . I would try migrating too if I were in such a country .",economic growth rates,Employment & Economy,unsustainable in small countries without similar economic growth rates,NEUTRAL,unsustainable in small countries without similar economic growth rates
1128,Pope Francis : Christians should support equal pay for equal work popefrancis worldnews society women SemST,equal pay for equal work,Employment & Economy,should support,HOPEFUL,Christians should support equal pay for equal work
1129,With both and dropping out to show their support JoeBiden shows how easily these two candidates can be bought by the elite in Washington ( The Swamp ) . And PIZZA is not a vegetable !,JoeBiden,Policy & Governance,shows how easily these two candidates can be bought by the elite in Washington ( The Swamp ),NEUTRAL,JoeBiden shows how easily these two candidates can be bought by the elite in Washington ( The Swamp )
1130,"We put limitations on a number of felons once their time has been served , sex offenders must register and their housing options are limited . Child molesters are limited in the jobs and activities the can have . I believe felons should be able to petition the courts and demonstrate they are a solid citizen and their full citizenship rights should be restored . Gun ownership should never be restored to violent felons . Just one man ' s opinion .",housing options,Shelter & Housing,their housing options are limited,NEUTRAL,their housing options are limited
1131,JoeBiden Scolds Reporter For Not Wearing a Mask on an Empty Street in Creepy Orwellian Video via,Not Wearing a Mask,Public Safety,Scolds Reporter For Not Wearing a Mask,NEUTRAL,Scolds Reporter For Not Wearing a Mask
1132,"I have so much respect , and would have loved to see her as Vice President . However , I support her , her decision , and . ThankYouAmyKlobuchar",her decision,Empathy & Support,I have so much respect,HOPEFUL,I have so much respect
1133,"Trump is destroying our Democracy by dismantling the agencies that protect us . Do not believe me ? Housing secretary confuses a banking term for a brand of cookies , puts full incompetence on display",Housing secretary,Policy & Governance,puts full incompetence on display,HATE,puts full incompetence on display
1134,"Meme is truth ! Watch this video w / clips of BernieSanders speaking in support of socialist and Marxist - Leninist Communist regimes : Sandinistas in Nicaragua , Cuba ' s Castro & communist Soviet Union . Sanders Past Misadventures Matter PL R / T",BernieSanders,Policy & Governance,speaking in support of socialist and Marxist - Leninist Communist regimes,NEUTRAL,BernieSanders speaking in support of socialist and Marxist - Leninist Communist regimes
1135,"Seems a bit silly , perhaps tongue in cheek . How to force people to fight who do not want to fight ? Bottom line is that none of the people appearing in Europe and demanding asylum are refugees , since the Syrians all had places of refuge ( Turkey , Jordan , Lebanon , etc . ) and left those places of refuge as economic migrants ( preferring German welfare to Turkish welfare , as would any rational human being ) . As for the non - Syrians , including various draft dodgers , they were not even refugees to start with .",people appearing in Europe and demanding asylum,Policy & Governance,none of the people appearing in Europe and demanding asylum are refugees,HATE,none of the people appearing in Europe and demanding asylum are refugees
1136,Daffy Donald - would have been great to support that MONTHS ago ! Before your cult held protests against wearing masks ! You are a ridiculous human ! TrumpVirusDeathToll158K TrumpVirusCatastrophe VoteForOurLives RepublicansForBiden WearADamnMask,wearing masks,Public Safety,held protests against wearing masks,HATE,your cult held protests against wearing masks
1137,"it ' s not the Bernie Sanders turf , in the Democratic party adopted a new platform that included things like min wage and healthcare for all . It would be ridiculous for D ' s not to support legislation that supports thier new platform nprpoliticslive",legislation that supports thier new platform,Policy & Governance,It would be ridiculous for D ' s not to support,HOPEFUL,It would be ridiculous for D ' s not to support
1138,"I just noticed your birthday , you just missed the best sign in the universe ! It ' s ok , I still like you . That ' s coming from a Scorpio ! laughing out loud by the way , love ur bio . I support JoeBiden , but will absolutely VoteBlue NoMatterWho !",JoeBiden,Policy & Governance,I support JoeBiden,HOPEFUL,I support JoeBiden
1139,I personally was not interested in politics before Mr . Trump was harassed the way he has been . Now I am more motivated and I am sure many others are as well to support the AmericaFirst policy by Mr . Trump b / c I feel it is great for America I Adore .,AmericaFirst policy,Policy & Governance,I feel it is great for America,HOPEFUL,I feel it is great for America
1140,"I am middle class . As for me , I ' d prefer you start with the homeless and those in poverty . I can wait , Joe . Let us tend to the critically ill before bandaging my cuts .",the homeless and those in poverty,Empathy & Support,I ' d prefer you start with the homeless and those in poverty,HOPEFUL,I ' d prefer you start with the homeless and those in poverty
1141,"Who does ? How stupid would you have to be to voer for a man who is in worse mental health than RonaldReagan was at the end of his nd term ? There is a special place in Hell for jillbiden , HunterBiden , & ALL family members who hope to enrich themselves , AGAIN . Not happening !",mental health,Addiction & Health,worse mental health than RonaldReagan was at the end of his nd term,HATE,"There is a special place in Hell for jillbiden , HunterBiden , & ALL family members who hope to enrich themselves , AGAIN ."
1142,Thank you for the inclusion . Patriots we have to be the RedWaveRising2018 . These Midterms2018 are one of the most important in our nation ' s history . We have to give the support he needs to keep on MAGA2018 and then MAGA2020 .,the support,Empathy & Support,Thank you for the inclusion,HOPEFUL,Thank you for the inclusion
1143,"In this particular case , in which the American media and most , if not all , Republicans are showing support for Mister Brand Name , I believe it takes a Supreme Court Justice to help a good half of American to listen , listen , listen to what Brand Name has been saying , and promising , for an entire year . I call this ' Condition Red . ' Any decent American , in this case , a Supreme Court Justice , who is frustrated with the ' limp noodle ' response to Brand Name ' s snake - oil method of garnishing support and votes , especially the American media , which seems to have ratings the main priority , any straight - thinking adult voter will have recognized the serious danger of a true despot getting this close to our Presidency . Things are backwards . Instead of acknowledging the farce that is Mister Brand Name , pundits , politicians , and others with eyes , ears , and voices not functioning , should be congratulating Justice Ginsberg instead of spouting rules that they , themselves , flaunt every chance they get .",Mister Brand Name,Policy & Governance,serious danger of a true despot getting this close to our Presidency,HATE,serious danger of a true despot getting this close to our Presidency
1144,has trouble writing positive Bernie stories . Headline : Sanders Surges point to Take the Lead in New York Sanders leads with support . The next closest is native son & billionaire Bloomberg who struggles with sexist & racist reports .,Bernie,Empathy & Support,trouble writing positive Bernie stories,NEUTRAL,has trouble writing positive Bernie stories
1145,Hey - Im a strong supporter & grassroots donor as I align closely with ur policy I dont understand ur opposition of marijuana with all of the research we have in . I urge you to rethink your stance here as this would cause me to rethink who I vote for JoeBiden,marijuana,Addiction & Health,I dont understand ur opposition of marijuana,HOPEFUL,I dont understand ur opposition of marijuana
1146,"Witnessing the destruction of the middleclass If you are black , white Hispanic , or any other creed support Trump usa thjuly SemST",Trump,Policy & Governance,support Trump,NEUTRAL,support Trump
1147,"trump is a killer , conman , thief , grifter , cheater & liar . You sheeple that support him are the same as he is . fuckyou ImpeachTrumpAgain",trump,Empathy & Support,"killer , conman , thief , grifter , cheater & liar",HATE,"killer , conman , thief , grifter , cheater & liar"
1148,You will not be able to . Only one virus has ever been eradicated . C19 is here to stay . However ; the economic basis for the support you receive from society is being eroded by lockdown . endthelockdown,support you receive from society,Employment & Economy,economic basis for the support you receive from society is being eroded by lockdown,NEUTRAL,the economic basis for the support you receive from society is being eroded by lockdown
1149,"My year old mother just broke her hip , had hip replacement surgery and weeks of rehab . Medicare plus her supplemental insurance covered everything and she did not get any confusing EOB ' s , bills from every person at the hospital , the ambulance , etc . , etc . Wish I had Medicare ! I have a deductible and every time I go to the dr . I get multiple statements from the dr . , the insurer , the lab , etc . Never can match the EOB to the dr . statement and invariably I am overcharged for something . I have a graduate degree and can never make heads or tails of the stuff I get and comparing plans is a nightmare . No way should the elderly ( or even the young ) be subject to this insane insurance system that most of us have to deal with !",Medicare,Addiction & Health,"covered everything and she did not get any confusing EOB ' s , bills from every person at the hospital , the ambulance , etc . , etc .",HOPEFUL,"Medicare plus her supplemental insurance covered everything and she did not get any confusing EOB ' s , bills from every person at the hospital , the ambulance , etc . , etc ."
1150,Trumps Right to Try was not only already a law in Colorado in but a more comprehensive law was signed by a real leader in by Trump . Food and Drug Administration Modernization Act of - Wikipedia,Trumps Right to Try,Policy & Governance,was not only already a law in Colorado,NEUTRAL,was not only already a law in Colorado
1151,DropOutBernie is a trend now but I see more support using this hashtag than hate . dont drop out ! There is hope for this country BernieSanders,DropOutBernie,Empathy & Support,more support using this hashtag than hate,HOPEFUL,more support using this hashtag than hate
1152,VP has been a strong advocate for hard - working Americans . I am so honored to have his support & am proud to work every day to protect the legacy that he & left caring for those who need our help the most . More here : nmpol TeamMichelle,his support,Empathy & Support,so honored to have his support,HOPEFUL,so honored to have his support
1153,"If , as the author suggests , "" Most parents who individualize the vaccine schedule are actively educating themselves , continually assessing their family ' s specific health needs , and doing everything they can to keep their children safe and healthy , "" then why are we having these outbreaks ? It is apparent that whatever these parents are doing is not working , and in the interest of public safety , it is time for meaningful legislation to ensure that these preventable diseases are indeed prevented .",meaningful legislation,Policy & Governance,it is time for meaningful legislation to ensure that these preventable diseases are indeed prevented,HOPEFUL,it is time for meaningful legislation to ensure that these preventable diseases are indeed prevented
1154,Some feminist ' s would shut down the entire global porn industry & put millions on benefits / welfare & not even care SemST,benefits / welfare,Policy & Governance,put millions on benefits / welfare & not even care,HATE,put millions on benefits / welfare & not even care
1155,Hillary ' s campaign events are scripted dog & pony shows designed to shelter her from vetting before the coronation SemST,Hillary ' s campaign events,Policy & Governance,scripted dog & pony shows,NEUTRAL,scripted dog & pony shows
1156,"Yes , bcs what we really need is another angry person owning an Assault Rifle ? MassShootings Stop Gaslighting & scaring MAGAs that Dems are out to take their little toys . Public safety should precede NRA Profits GunControl PeopleOverProfit NRADoesntCare Biden",Public safety,Public Safety,Public safety should precede NRA Profits,HOPEFUL,Public safety should precede NRA Profits
1157,In believed that the majority of drug dealers in this country were Black . If that is not racist . I do not know what is .,drug dealers,Addiction & Health,majority of drug dealers in this country were Black,HATE,the majority of drug dealers in this country were Black
1158,The more Republicans talk about social policy the better . for SemST,social policy,Policy & Governance,the better,NEUTRAL,the better
1159,KamalaHarris ' s JoeBiden endorsement is completely self serving ! Where was her support before SuperTuesday ? I will tell where she was . NOWHERE ! NO ONE contacted her because she has shown herself to be inappropriate publicly x and was scolded by Chuck Schumer !,KamalaHarris ' s JoeBiden endorsement,Policy & Governance,completely self serving,HATE,completely self serving
1160,"only support there was , the anc filling their pockets stealing from the poor . ANCHatesSouthAfricans ANCMustFall endthelockdown",the anc,Policy & Governance,filling their pockets stealing from the poor,HATE,filling their pockets stealing from the poor
1161,you really made a fool of yourself You had the opportunity to NOT support the SHAM of the House Dems So I expect that your fragile legacy will end up like Signed PS : Great job working with to drive out residents,House Dems,Policy & Governance,SHAM of the House Dems,HATE,SHAM of the House Dems
1162,"BernieSanders ' Medicare For All saves lives , not just $ $ . people / year die because they do not have insurance that covers *everything* It helps everyone because it is a NotMeUs policy . We *all* win - including billionaires ! This is UNITY ! NewHampshirePrimary",Medicare For All,Addiction & Health,saves lives,HOPEFUL,Medicare For All saves lives
1163,Obama attempted to subvert the Constitution & he himself said that his agenda to change America was hindered & that his hands were tied because of the very document he refused to support & defend . Trump is harassed by the LEFT because he loves America . Maga2020 KAG2020 USA .,Obama,Policy & Governance,attempted to subvert the Constitution,HATE,Obama attempted to subvert the Constitution
1164,Holy Crap ! Trump just went nuclear with Mexico over illegal immigration !,illegal immigration,Policy & Governance,just went nuclear with Mexico,NEUTRAL,just went nuclear with Mexico
1165,"Nowhere , just like the proof of the affordability of millionaire - Bernie Sanders ' election promises . HOWEVER , he is the main policy - brain among Dems and it ' s a shame how his ideas are being stolen by ElizabethWarren , how CNN + NBC AGAIN try sink him .",Bernie Sanders ' election promises,Policy & Governance,proof of the affordability,NEUTRAL,proof of the affordability of millionaire - Bernie Sanders ' election promises
1166,"I support BernieSanders and volunteer for him because he is one of few politicians who is consistent and honorable and he has spent decades standing up and fighting for Universal Health Care access , workers rights , human rights , a fair economy for all , and diplomacy over War .",BernieSanders,Policy & Governance,consistent and honorable,HOPEFUL,he is one of few politicians who is consistent and honorable
1167,"All Bernie supporter should be welcomed with open arms . The DemocraticParty is the biggest tent in the history of politics , & we cannot allow the differences between us to blind us from seeing all that we have in common . History shows that when we stand as one , we win big ! FBR",The DemocraticParty,Community Impact & Social Cohesion,the biggest tent in the history of politics,HOPEFUL,the biggest tent in the history of politics
1168,"When you are a conservative , it ' s difficult not having a poltical party , I get it . Some have chosen to run where there is shelter and welcoming arms . welcoming as long as you are willing to stop speaking out against their leader . I am now and always Trump and proud of it .",shelter and welcoming arms,Empathy & Support,welcoming as long as you are willing to stop speaking out against their leader,HATE,welcoming as long as you are willing to stop speaking out against their leader
1169,His policy vision is anti - Medicare4All and cops shooting protestors in the legs so I will sure as fuck not be moving forward with it Biden have fun though,policy vision,Policy & Governance,anti - Medicare4All and cops shooting protestors in the legs,HATE,anti - Medicare4All and cops shooting protestors in the legs
1170,"JoeBiden couldnt even bring himself to say Hunter struggles with alcohol & drug addiction . He framed it as mental health issues in his interview with Chris Cuomo . In promoting the crime bill , he indicted Black families & Black squalor in rearing predators and addicts . karma",alcohol & drug addiction,Addiction & Health,struggles with alcohol & drug addiction,HATE,he indicted Black families & Black squalor in rearing predators and addicts
1171,"Thank you for the support , they will win in November and we are looking forward to working with you to be our next President .",support,Empathy & Support,Thank you for the support,HOPEFUL,Thank you for the support
1172,"You really screwed up Emmons . Rush was beatable but not by you . You are embracement of BernieSanders & AOC ' s progressive BS is not going to sell well in IL1 . Ever been to Tinley Park , Frankfort , Orland Park ?",Emmons,Policy & Governance,You really screwed up Emmons,HATE,You really screwed up Emmons
1173,JoeBiden Wall street Is evil ! also Joe Biden in his own state - Over of publicly traded corporations in the United States and of the Fortune are incorporated in Delaware . Tax breaks for billionaires .,Tax breaks for billionaires,Policy & Governance,evil,HATE,evil
1174,"I have to agree with Wurman to the extent that "" If we are to have any hope of meaningfully increasing the literacy of our students , the solution must lie with classroom teachers and not with libraries and librarians . "" What he neglects to include , however , is how important the school librarian can be in ensuring that teachers have the necessary resources and skills to work with students in improving literacy . Keeping abreast of literature and new technologies that will meet the needs of the wide range of learning styles and abilities within one school is a yeoman ' s job . To expect the classroom teacher to be that expert without support is once again expecting too much from teachers , leading to many leaving the profession . A school librarian , if the right one is hired , can be the school leader in information resource management and use .",school librarian,Empathy & Support,can be the school leader in information resource management and use,HOPEFUL,"A school librarian , if the right one is hired , can be the school leader in information resource management and use"
1175,That Time Trump Spent Nearly On An Ad Criticizin US Foreign Policy In america DonaldJTrump foreignpolicy SemST,US Foreign Policy,Policy & Governance,Criticizin,NEUTRAL,Criticizin
1176,"It is quite sad to see a doctor advocate for government coercion for something that every doctor acknowledges has its risks . How would this doctor propose to enforce this coercion , prison terms for parents who refuse to vaccinate ? Stalking the kids and vaccinating them in the street ? Providing each child with a vaccine record microchip ? It would be one expensive government program to run . It seems a lot more reaction would follow and hence some real outbreaks . Peaceful persuasion seems to be a wiser alternative . Or , if an increased compliance is sought for the more serious diseases , such as pertussis , measles , polio , rubella , then offer separate vaccines that fewer parents would object to and eliminate the ludicrous vaccines from the compulsory list , by ludicrous I mean those that clearly might be doing more harm than good as is the case with the varicella vaccine and the hep B vaccines given routinely to babies of non - carrier mothers . The more such vaccines are forced , the more families react by complete refusal of vaccines .",government coercion,Policy & Governance,It is quite sad to see a doctor advocate for government coercion,NEUTRAL,It is quite sad to see a doctor advocate for government coercion
1177,Bernie needs to go home to Jane and stay there . Enough of his BS . freeCollege will never ever happen . In NYC some people are getting free or reduced tuition . Catch is you have to be unemployed and / or on social services . shaking my head . that does not help the rest who can not afford it .,freeCollege,Policy & Governance,will never ever happen,HATE,freeCollege will never ever happen
1178,CAN YOU SAY TULSA MAYOR IN A PANIC ? Tulsa Police : Curfew For Part Of Downtown Tulsa Through Saturday FoxNews JoeBiden,Curfew For Part Of Downtown Tulsa,Policy & Governance,CAN YOU SAY TULSA MAYOR IN A PANIC ?,NEUTRAL,CAN YOU SAY TULSA MAYOR IN A PANIC ?
1179,"Honestly , I doubt anyone cares anymore , Marc . We thought we knew ya , but a series of weird takes has convinced me that I , for one , do not . Support who you want . Support more than one . BernieSanders",Support,Empathy & Support,Support who you want . Support more than one,HOPEFUL,Support who you want . Support more than one
1180,only if we stop allowing them work & stop welfare they will self - deport tcot SemST,welfare,Policy & Governance,stop welfare,HATE,stop welfare
1181,"We all have to choose how we understand and act regarding the neglect and abuse of women . Ultimately , I choose to support the person who is most likely to be surrounded and influenced by people working now for womens rights in all areas . Trump",the neglect and abuse of women,Empathy & Support,I choose to support the person who is most likely to be surrounded and influenced by people working now for womens rights in all areas,HOPEFUL,I choose to support the person who is most likely to be surrounded and influenced by people working now for womens rights in all areas
1182,Prescription drug prices declined for the first time in years under this administration . perhaps Bernie didnt get the memo,Prescription drug prices,Addiction & Health,declined for the first time in years,NEUTRAL,Prescription drug prices declined for the first time in years
1183,It ' s a beautiful day for phone banking at the Hill House on Richland Street ! Join us tonight at ! SemST,phone banking at the Hill House on Richland Street,Empathy & Support,It's a beautiful day,HOPEFUL,It's a beautiful day
1184,"If JoeBiden abused his * official authority * in Ukraine to clear a path for a company that gave his drug addicted Navy reject son millions , Americans ought to know about it before he is elected to have authority over them and the free world . disagree .",JoeBiden,Policy & Governance,disagree,NEUTRAL,disagree
1185,Im not a fan of JoeBiden but will easily vote for him to put absolute horrid fucks like on the street,JoeBiden,Policy & Governance,Im not a fan of JoeBiden,HATE,Im not a fan of JoeBiden
1186,is using his campaign funding structure to elicit donations for charities working hard to support working people during the coronavirus . I love this movement .,campaign funding structure,Policy & Governance,I love this movement,HOPEFUL,I love this movement
